user_id,item_id,rating,timestamp
6040,858,1,956703932
6040,2384,1,956703954
6040,593,1,956703954
6040,1961,1,956703977
6040,2019,1,956703977
6040,1419,1,956704056
6040,213,1,956704056
6040,3111,1,956704056
6040,573,1,956704056
6040,3505,1,956704056
6040,1734,0,956704081
6040,919,1,956704191
6040,912,1,956704191
6040,2503,1,956704191
6040,527,1,956704219
6040,1252,1,956704257
6040,649,1,956704257
6040,318,1,956704257
6040,3289,1,956704305
6040,759,1,956704448
6040,2858,1,956704475
6040,608,1,956704475
6040,2396,1,956704475
6040,1649,1,956704519
6040,2028,1,956704519
6040,326,1,956704519
6040,2762,1,956704584
6040,34,1,956704584
6040,17,1,956704584
6040,246,1,956704613
6040,2692,1,956704656
6040,1617,1,956704673
6040,300,0,956704716
6040,1392,1,956704716
6040,1111,1,956704716
6040,150,1,956704716
6040,562,1,956704746
6040,549,1,956704746
6040,1537,1,956704788
6040,448,1,956704788
6040,866,1,956704788
6040,1554,0,956704788
6040,265,1,956704788
6040,2324,1,956704829
6040,1358,1,956704829
6040,235,0,956704854
6040,247,0,956704854
6040,446,1,956704854
6040,1704,1,956704887
6040,1094,1,956704887
6040,50,1,956704911
6040,45,1,956704953
6040,162,1,956704953
6040,348,0,956704972
6040,508,1,956704972
6040,589,1,956704996
6040,1089,1,956704996
6040,58,1,956705033
6040,2580,1,956705056
6040,1694,1,956705056
6040,1834,1,956705073
6040,2391,1,956705112
6039,111,1,956705158
6039,282,1,956705158
6040,290,1,956705162
6039,2067,1,956705178
6040,1641,1,956705185
6040,357,1,956705185
6039,1230,1,956705202
6039,930,1,956705202
6039,947,1,956705281
6039,3088,1,956705281
6039,3022,1,956705281
6039,3133,1,956705281
6039,1294,1,956705300
6039,2804,1,956705323
6039,3421,0,956705323
6039,1269,1,956705323
6039,1244,0,956705351
6039,955,1,956705351
6039,1276,1,956705351
6039,2622,1,956705351
6039,2791,1,956705371
6039,2300,1,956705395
6039,1028,1,956705395
6039,2396,1,956705395
6039,1197,1,956705416
6039,2863,1,956705416
6039,3548,1,956705416
6039,1211,1,956705441
6039,1223,1,956705441
6039,951,1,956705441
6039,933,1,956705470
6039,3072,1,956705470
6039,1066,1,956705470
6039,907,1,956705486
6039,935,1,956705508
6039,1304,1,956705508
6039,2671,0,956705508
6039,3175,1,956705508
6039,3363,1,956705545
6039,1014,1,956705545
6039,1078,1,956705545
6039,3035,1,956705545
6039,1270,1,956705545
6039,1265,1,956705564
6039,909,1,956705564
6039,3396,1,956705581
6039,911,1,956705636
6039,1934,1,956705636
6039,2174,1,956705636
6039,945,1,956705653
6039,2746,1,956705654
6039,952,1,956705679
6039,3037,1,956705679
6039,1188,1,956705679
6039,471,1,956705679
6039,2289,1,956705703
6039,916,1,956705703
6039,1125,1,956705718
6039,915,1,956705733
6039,1641,1,956705749
6039,3028,1,956705749
6039,750,1,956705790
6039,260,1,956705790
6039,3471,1,956705790
6039,1097,1,956705811
6039,924,1,956705811
6039,1210,1,956705811
6039,3545,1,956705872
6039,2087,1,956705872
6039,914,1,956705872
6039,919,1,956705872
6039,2565,1,956705872
6039,900,1,956705907
6039,899,1,956705907
6039,918,1,956705907
6039,1282,1,956705907
6039,1022,1,956705907
6039,3549,1,956705950
6039,364,1,956705950
6039,963,1,956705950
6039,1947,1,956705950
6039,588,1,956705950
6039,1951,1,956705950
6039,1380,1,956705989
6039,2857,1,956705989
6039,107,1,956705989
6039,1220,1,956705989
6039,2946,1,956705989
6039,1081,1,956705989
6039,2083,1,956705989
6039,938,1,956706019
6039,2096,1,956706019
6039,661,1,956706019
6039,1088,1,956706019
6039,901,1,956706019
6039,783,0,956706051
6039,2080,1,956706051
6039,1083,1,956706051
6039,1416,1,956706075
6039,199,1,956706075
6039,48,1,956706095
6039,1284,1,956706148
6039,904,1,956706148
6039,913,1,956706148
6039,903,1,956706148
6039,1212,1,956706148
6039,1086,1,956706182
6039,1964,1,956706182
6039,2206,1,956706182
6039,950,1,956706182
6039,2208,1,956706182
6039,906,1,956706201
6039,942,1,956706201
6039,2414,1,956706233
6039,1680,1,956706298
6039,926,1,956706324
6039,1237,1,956706505
6039,1252,1,956706538
6039,2019,1,956706538
6039,923,1,956706538
6038,3396,1,956706827
6038,920,1,956706827
6038,1210,1,956706876
6038,2146,1,956706909
6038,1387,0,956707005
6038,356,1,956707005
6038,1079,1,956707547
6038,1148,1,956707604
6038,1276,1,956707604
6038,2716,1,956707604
6038,3548,1,956707604
6038,232,1,956707640
6038,3088,1,956707640
6038,1136,1,956707708
6038,1223,1,956707734
6037,1882,0,956708997
6037,702,0,956708997
6037,1267,1,956708997
6037,2028,1,956708997
6037,3508,1,956708997
6037,3148,1,956709118
6037,562,1,956709118
6037,858,1,956709118
6037,1221,1,956709149
6037,912,1,956709149
6037,3543,1,956709149
6037,923,1,956709173
6037,1193,1,956709215
6037,527,1,956709215
6037,2132,1,956709215
6037,2804,1,956709215
6037,1250,1,956709215
6037,2858,1,956709215
6037,318,1,956709215
